run_name,source_h5,ndims,num_frames,samples_n,rep,gamma,epochs,batch_size,theta_test_deg,theta_train_deg,omega_test_rmse,omega_train_rmse,kinetic_test_rmse,kinetic_train_rmse,pot_test_rmse,pot_train_rmse,final_test_mi,final_train_mi
dz2_numF2_sN2_rep2,results_batch_size_1024.h5,2,2,2,2,0.01,300,1024,80.06230163574219,37.52972412109375,6.184437928498845,4.869573850061335,2.0112240081112853,0.9952588340867403,1.637813229486994,0.9996544717840078,-15.435956954956055,2.9269518852233887
dz2_numF2_sN2_rep3,results_batch_size_1024.h5,2,2,2,3,0.01,300,1024,80.3868637084961,34.32002258300781,6.2494857576529785,4.8089199869658925,1.827394584088954,1.1127111213181096,1.7620762633534155,1.1313217877956734,-11.414254188537598,2.950777053833008
dz2_numF2_sN2_rep4,results_batch_size_1024.h5,2,2,2,4,0.01,300,1024,41.135990142822266,12.514881134033203,7.040792136276287,4.494370223790659,2.1577923552106597,0.45896634005562353,0.6347486523046381,0.4630049713158304,-14.903373718261719,3.0057668685913086
dz2_numF2_sN2_rep5,results_batch_size_1024.h5,2,2,2,5,0.01,300,1024,22.843685150146484,3.3095157146453857,7.027468058412768,4.431314374835422,2.1815765835917116,0.23731011121540713,0.39126182145245453,0.17955880117208342,-9.547605514526367,3.039125680923462
dz2_numF2_sN32_rep1,results_batch_size_1024.h5,2,2,32,1,0.01,300,1024,6.419714450836182,6.443169593811035,4.979572338140733,5.1328353532953,1.8816481666342533,1.6097012161443667,0.33492720409057314,0.3249349439597115,1.9820764064788818,2.218575954437256
dz2_numF2_sN32_rep2,results_batch_size_1024.h5,2,2,32,2,0.01,300,1024,4.625558853149414,4.4958109855651855,3.3035972005067142,3.3787989957688507,1.719532875015205,1.4928590152321974,0.22064994069927826,0.221714718609291,2.040074348449707,2.318471908569336
dz2_numF2_sN32_rep3,results_batch_size_1024.h5,2,2,32,3,0.01,300,1024,7.179243564605713,7.010035991668701,4.89441648502473,5.094495285836196,1.893049026027709,1.5953759519865152,0.26845336389794655,0.2688159226916062,1.9824594259262085,2.2921111583709717
dz2_numF2_sN32_rep4,results_batch_size_1024.h5,2,2,32,4,0.01,300,1024,24.098020553588867,25.930782318115234,5.134796641630837,5.457392293554858,1.8670808769652028,1.633750390634293,0.6135486578637478,0.6701620800132048,1.6430823802947998,2.23256778717041
dz2_numF2_sN32_rep5,results_batch_size_1024.h5,2,2,32,5,0.01,300,1024,3.504351854324341,3.552985191345215,5.661462563305784,5.774672111681885,1.8569220382808354,1.6367475193017118,0.10126045134844992,0.10838315185821515,1.797505497932434,2.0290939807891846
dz2_numF2_sN4_rep1,results_batch_size_1024.h5,2,2,4,1,0.01,300,1024,9.147542953491211,5.763868808746338,8.075630791653706,4.999443976957373,2.309154255270485,0.497419223601589,0.3759030753314072,0.2537744326644056,1.3154327869415283,2.3168935775756836
dz2_numF2_sN4_rep2,results_batch_size_1024.h5,2,2,4,2,0.01,300,1024,6.440478801727295,4.13730525970459,7.912435773013298,5.024424217221274,2.3004490040908023,0.42994909126526404,0.2646082464013304,0.18539950893253734,1.124342918395996,2.342247247695923
